title id,Year,Rating,Votes,Title,rating link,1,2,3,4,5,6,7,8,9,10,Title-Year,WorldwideBox Office,imdb_url
tt0099385,1990,5.6,19045.0,Death Warrant,https://www.imdb.com/title/tt0099385/ratings/?ref_=tt_ov_rt,1402.0,505.0,1322.0,2913.0,5097.0,4271.0,1844.0,852.0,387.0,452.0,1990 Death Warrant,16853487,https://www.imdb.com/title/tt0099385/?ref_=fn_al_tt_0
tt0099422,1990,6.2,62256.0,Dick Tracy,https://www.imdb.com/title/tt0099422/ratings/?ref_=tt_ov_rt,3760.0,2497.0,7060.0,13828.0,16209.0,9943.0,4506.0,2092.0,1199.0,1162.0,1990 Dick Tracy,162738726,https://www.imdb.com/title/tt0099422/?ref_=fn_al_tt_0
tt0099423,1990,7.1,360900.0,Die Hard 2,https://www.imdb.com/title/tt0099423/ratings/?ref_=tt_ov_rt,24411.0,29115.0,86963.0,132509.0,57305.0,18295.0,6299.0,2566.0,1558.0,1879.0,1990 Die Hard 2,240031274,https://www.imdb.com/title/tt0099423/?ref_=fn_al_tt_0
tt0099472,1990,6.8,27070.0,DuckTales the Movie: Treasure of the Lost Lamp,https://www.imdb.com/title/tt0099472/ratings/?ref_=tt_ov_rt,2397.0,1587.0,4559.0,8974.0,5747.0,2177.0,786.0,333.0,208.0,302.0,1990 DuckTales the Movie: Treasure of the Lost Lamp,18115724,https://www.imdb.com/title/tt0099472/?ref_=fn_al_tt_0
tt0099487,1990,7.9,486882.0,Edward Scissorhands,https://www.imdb.com/title/tt0099487/ratings/?ref_=tt_ov_rt,80168.0,86020.0,161950.0,99394.0,35637.0,12254.0,4896.0,2408.0,1494.0,2661.0,1990 Edward Scissorhands,86024005,https://www.imdb.com/title/tt0099487/?ref_=fn_al_tt_0
tt0099528,1990,6.4,32204.0,The Exorcist III,https://www.imdb.com/title/tt0099528/ratings/?ref_=tt_ov_rt,2767.0,2282.0,5103.0,6839.0,6462.0,3977.0,2156.0,1343.0,603.0,672.0,1990 The Exorcist III,39024251,https://www.imdb.com/title/tt0099528/?ref_=fn_al_tt_0
tt0099558,1991,7.2,20878.0,Fei ying gai wak,https://www.imdb.com/title/tt0099558/ratings/?ref_=tt_ov_rt,2594.0,1950.0,4899.0,6330.0,3027.0,1142.0,417.0,184.0,108.0,227.0,1991 Fei ying gai wak,10405394,https://www.imdb.com/title/tt0099558/?ref_=fn_al_tt_0
tt0099582,1990,6.5,87428.0,Flatliners,https://www.imdb.com/title/tt0099582/ratings/?ref_=tt_ov_rt,3717.0,4142.0,13503.0,27861.0,22448.0,9246.0,3455.0,1498.0,782.0,776.0,1990 Flatliners,61489265,https://www.imdb.com/title/tt0099582/?ref_=fn_al_tt_0
tt0099611,1990,6.2,11220.0,Frankenhooker,https://www.imdb.com/title/tt0099611/ratings/?ref_=tt_ov_rt,994.0,554.0,1489.0,2403.0,2513.0,1457.0,739.0,439.0,272.0,360.0,1990 Frankenhooker,205068,https://www.imdb.com/title/tt0099611/?ref_=fn_al_tt_0
tt0099615,1990,6.4,20735.0,The Freshman,https://www.imdb.com/title/tt0099615/ratings/?ref_=tt_ov_rt,1088.0,1212.0,3122.0,5788.0,5397.0,2427.0,916.0,360.0,175.0,250.0,1990 The Freshman,21460601,https://www.imdb.com/title/tt0099615/?ref_=fn_al_tt_0
tt0099653,1990,7.1,216838.0,Ghost,https://www.imdb.com/title/tt0099653/ratings/?ref_=tt_ov_rt,21424.0,20352.0,47730.0,65862.0,35138.0,14366.0,5661.0,2778.0,1596.0,1931.0,1990 Ghost,505703557,https://www.imdb.com/title/tt0099653/?ref_=fn_al_tt_0
tt0099674,1990,7.6,395097.0,The Godfather Part III,https://www.imdb.com/title/tt0099674/ratings/?ref_=tt_ov_rt,52894.0,56161.0,119180.0,97561.0,39452.0,14707.0,6161.0,3270.0,1904.0,3807.0,1990 The Godfather Part III,136861392,https://www.imdb.com/title/tt0099674/?ref_=fn_al_tt_0
tt0099685,1990,8.7,1146367.0,Goodfellas,https://www.imdb.com/title/tt0099685/ratings/?ref_=tt_ov_rt,325761.0,360833.0,281911.0,112189.0,33077.0,12568.0,5668.0,3551.0,2602.0,8207.0,1990 Goodfellas,47036784,https://www.imdb.com/title/tt0099685/?ref_=fn_al_tt_0
tt0099699,1990,6.3,24644.0,Green Card,https://www.imdb.com/title/tt0099699/ratings/?ref_=tt_ov_rt,1152.0,1075.0,3028.0,6138.0,6856.0,3548.0,1478.0,601.0,359.0,409.0,1990 Green Card,29888235,https://www.imdb.com/title/tt0099699/?ref_=fn_al_tt_0
tt0099700,1990,6.4,103752.0,Gremlins 2: The New Batch,https://www.imdb.com/title/tt0099700/ratings/?ref_=tt_ov_rt,6286.0,4865.0,13372.0,26216.0,28036.0,13714.0,5932.0,2692.0,1366.0,1273.0,1990 Gremlins 2: The New Batch,41482207,https://www.imdb.com/title/tt0099700/?ref_=fn_al_tt_0
tt0099703,1990,6.9,28308.0,The Grifters,https://www.imdb.com/title/tt0099703/ratings/?ref_=tt_ov_rt,1942.0,2565.0,5883.0,8561.0,4998.0,2202.0,968.0,494.0,295.0,400.0,1990 The Grifters,13446769,https://www.imdb.com/title/tt0099703/?ref_=fn_al_tt_0
tt0099726,1990,6.7,22597.0,Hamlet,https://www.imdb.com/title/tt0099726/ratings/?ref_=tt_ov_rt,1666.0,1648.0,4385.0,6694.0,4336.0,1991.0,777.0,423.0,254.0,423.0,1990 Hamlet,20710451,https://www.imdb.com/title/tt0099726/?ref_=fn_al_tt_0
tt0099739,1990,5.8,30438.0,Hard to Kill,https://www.imdb.com/title/tt0099739/ratings/?ref_=tt_ov_rt,2185.0,978.0,2541.0,5300.0,7811.0,5730.0,2771.0,1343.0,801.0,978.0,1990 Hard to Kill,47410827,https://www.imdb.com/title/tt0099739/?ref_=fn_al_tt_0
tt0099740,1990,5.9,15510.0,Hardware,https://www.imdb.com/title/tt0099740/ratings/?ref_=tt_ov_rt,1109.0,757.0,1826.0,2758.0,3117.0,2383.0,1450.0,1007.0,459.0,644.0,1990 Hardware,5728953,https://www.imdb.com/title/tt0099740/?ref_=fn_al_tt_0
tt0099762,1990,6.3,13353.0,Henry & June,https://www.imdb.com/title/tt0099762/ratings/?ref_=tt_ov_rt,1082.0,829.0,1836.0,3154.0,3104.0,1620.0,775.0,352.0,256.0,345.0,1990 Henry & June,23472449,https://www.imdb.com/title/tt0099762/?ref_=fn_al_tt_0
tt0099776,1990,7.6,16455.0,Europa Europa,https://www.imdb.com/title/tt0099776/ratings/?ref_=tt_ov_rt,1996.0,2362.0,5408.0,3921.0,1497.0,516.0,198.0,133.0,137.0,287.0,1990 Europa Europa,5575738,https://www.imdb.com/title/tt0099776/?ref_=fn_al_tt_0
tt0099785,1990,7.7,561963.0,Home Alone,https://www.imdb.com/title/tt0099785/ratings/?ref_=tt_ov_rt,89564.0,72968.0,160504.0,144193.0,55802.0,20416.0,8103.0,4333.0,2753.0,3327.0,1990 Home Alone,476684675,https://www.imdb.com/title/tt0099785/?ref_=fn_al_tt_0
tt0099797,1990,6.4,12174.0,The Hot Spot,https://www.imdb.com/title/tt0099797/ratings/?ref_=tt_ov_rt,705.0,673.0,1790.0,3138.0,3049.0,1417.0,651.0,298.0,141.0,312.0,1990 The Hot Spot,1293976,https://www.imdb.com/title/tt0099797/?ref_=fn_al_tt_0
tt0099800,1990,6.4,15152.0,House Party,https://www.imdb.com/title/tt0099800/ratings/?ref_=tt_ov_rt,2066.0,1039.0,2043.0,3011.0,3063.0,1757.0,948.0,466.0,362.0,397.0,1990 House Party,26385627,https://www.imdb.com/title/tt0099800/?ref_=fn_al_tt_0
tt0099810,1990,7.5,199836.0,The Hunt for Red October,https://www.imdb.com/title/tt0099810/ratings/?ref_=tt_ov_rt,20027.0,29270.0,68288.0,52621.0,18812.0,6131.0,2097.0,989.0,580.0,1021.0,1990 The Hunt for Red October,200512643,https://www.imdb.com/title/tt0099810/?ref_=fn_al_tt_0
tt0099817,1990,6.1,12500.0,Dark Angel,https://www.imdb.com/title/tt0099817/ratings/?ref_=tt_ov_rt,1104.0,557.0,1329.0,2615.0,3092.0,1916.0,911.0,444.0,256.0,276.0,1990 Dark Angel,4348368,https://www.imdb.com/title/tt0099817/?ref_=fn_al_tt_0
tt0099819,1990,6.4,14687.0,I Love You to Death,https://www.imdb.com/title/tt0099819/ratings/?ref_=tt_ov_rt,1212.0,827.0,2148.0,3664.0,3473.0,1861.0,780.0,322.0,163.0,237.0,1990 I Love You to Death,16186793,https://www.imdb.com/title/tt0099819/?ref_=fn_al_tt_0
tt0099850,1990,6.5,20522.0,Internal Affairs,https://www.imdb.com/title/tt0099850/ratings/?ref_=tt_ov_rt,823.0,939.0,3004.0,6447.0,5629.0,2158.0,776.0,347.0,161.0,238.0,1990 Internal Affairs,27734391,https://www.imdb.com/title/tt0099850/?ref_=fn_al_tt_0
tt0099871,1990,7.4,108484.0,Jacob's Ladder,https://www.imdb.com/title/tt0099871/ratings/?ref_=tt_ov_rt,12447.0,15904.0,32015.0,27430.0,11860.0,4384.0,1883.0,973.0,582.0,1006.0,1990 Jacob's Ladder,26118851,https://www.imdb.com/title/tt0099871/?ref_=fn_al_tt_0
tt0099892,1990,5.9,37505.0,Joe Versus the Volcano,https://www.imdb.com/title/tt0099892/ratings/?ref_=tt_ov_rt,3262.0,2109.0,3736.0,6009.0,7945.0,6757.0,3445.0,1878.0,1128.0,1236.0,1990 Joe Versus the Volcano,39404261,https://www.imdb.com/title/tt0099892/?ref_=fn_al_tt_0
tt0099938,1990,6.2,149957.0,Kindergarten Cop,https://www.imdb.com/title/tt0099938/ratings/?ref_=tt_ov_rt,7874.0,5336.0,16420.0,36513.0,43161.0,22862.0,9627.0,4200.0,2258.0,1706.0,1990 Kindergarten Cop,201957688,https://www.imdb.com/title/tt0099938/?ref_=fn_al_tt_0
tt0099939,1990,6.9,37649.0,King of New York,https://www.imdb.com/title/tt0099939/ratings/?ref_=tt_ov_rt,3150.0,3097.0,7698.0,11888.0,6724.0,2774.0,1105.0,513.0,329.0,371.0,1990 King of New York,2554476,https://www.imdb.com/title/tt0099939/?ref_=fn_al_tt_0
tt0099994,1990,5.0,17093.0,Leatherface: Texas Chainsaw Massacre III,https://www.imdb.com/title/tt0099994/ratings/?ref_=tt_ov_rt,1265.0,321.0,841.0,1862.0,3271.0,3871.0,2536.0,1523.0,802.0,801.0,1990 Leatherface: Texas Chainsaw Massacre III,5765562,https://www.imdb.com/title/tt0099994/?ref_=fn_al_tt_0
tt0100024,1990,7.4,10469.0,Life Is Sweet,https://www.imdb.com/title/tt0100024/ratings/?ref_=tt_ov_rt,1048.0,1605.0,3007.0,2697.0,1075.0,456.0,235.0,124.0,80.0,142.0,1990 Life Is Sweet,1516414,https://www.imdb.com/title/tt0100024/?ref_=fn_al_tt_0
tt0100029,1990,6.2,36700.0,Lionheart,https://www.imdb.com/title/tt0100029/ratings/?ref_=tt_ov_rt,3764.0,1594.0,4190.0,7753.0,9514.0,5507.0,2253.0,1016.0,540.0,569.0,1990 Lionheart,24271196,https://www.imdb.com/title/tt0100029/?ref_=fn_al_tt_0
tt0100050,1990,4.6,46916.0,Look Who's Talking Too,https://www.imdb.com/title/tt0100050/ratings/?ref_=tt_ov_rt,1708.0,656.0,1639.0,3637.0,7204.0,10516.0,9407.0,5821.0,3506.0,2822.0,1990 Look Who's Talking Too,47789074,https://www.imdb.com/title/tt0100050/?ref_=fn_al_tt_0
tt0100054,1990,6.4,31114.0,Lord of the Flies,https://www.imdb.com/title/tt0100054/ratings/?ref_=tt_ov_rt,1500.0,1245.0,4004.0,8299.0,8345.0,3874.0,1785.0,1001.0,445.0,616.0,1990 Lord of the Flies,13985225,https://www.imdb.com/title/tt0100054/?ref_=fn_al_tt_0
tt0100114,1990,5.9,22475.0,Marked for Death,https://www.imdb.com/title/tt0100114/ratings/?ref_=tt_ov_rt,1841.0,856.0,2052.0,4135.0,5814.0,3996.0,1706.0,862.0,500.0,713.0,1990 Marked for Death,57968936,https://www.imdb.com/title/tt0100114/?ref_=fn_al_tt_0
tt0100133,1990,6.9,28730.0,Memphis Belle,https://www.imdb.com/title/tt0100133/ratings/?ref_=tt_ov_rt,2121.0,2280.0,6036.0,9630.0,5455.0,1907.0,582.0,254.0,149.0,316.0,1990 Memphis Belle,27441977,https://www.imdb.com/title/tt0100133/?ref_=fn_al_tt_0
tt0100135,1990,5.9,25029.0,Men at Work,https://www.imdb.com/title/tt0100135/ratings/?ref_=tt_ov_rt,1708.0,839.0,2274.0,4869.0,6841.0,4610.0,2002.0,915.0,526.0,445.0,1990 Men at Work,16247964,https://www.imdb.com/title/tt0100135/?ref_=fn_al_tt_0
tt0100140,1990,6.7,32395.0,Mermaids,https://www.imdb.com/title/tt0100140/ratings/?ref_=tt_ov_rt,3090.0,2076.0,5462.0,9109.0,7159.0,3167.0,1215.0,509.0,261.0,347.0,1990 Mermaids,35419397,https://www.imdb.com/title/tt0100140/?ref_=fn_al_tt_0
tt0100142,1990,7.3,11406.0,Metropolitan,https://www.imdb.com/title/tt0100142/ratings/?ref_=tt_ov_rt,1376.0,1638.0,2940.0,2732.0,1395.0,600.0,271.0,142.0,115.0,197.0,1990 Metropolitan,2960492,https://www.imdb.com/title/tt0100142/?ref_=fn_al_tt_0
tt0100150,1990,7.7,135561.0,Miller's Crossing,https://www.imdb.com/title/tt0100150/ratings/?ref_=tt_ov_rt,17893.0,23364.0,44243.0,30491.0,11279.0,4234.0,1556.0,797.0,499.0,1205.0,1990 Miller's Crossing,5080409,https://www.imdb.com/title/tt0100150/?ref_=fn_al_tt_0
tt0100157,1990,7.8,210028.0,Misery,https://www.imdb.com/title/tt0100157/ratings/?ref_=tt_ov_rt,22335.0,34343.0,81934.0,49995.0,14084.0,4249.0,1342.0,624.0,455.0,667.0,1990 Misery,61277271,https://www.imdb.com/title/tt0100157/?ref_=fn_al_tt_0
tt0100168,1990,6.6,12706.0,Mo' Better Blues,https://www.imdb.com/title/tt0100168/ratings/?ref_=tt_ov_rt,919.0,792.0,2218.0,3653.0,2695.0,1150.0,486.0,187.0,153.0,453.0,1990 Mo' Better Blues,16153593,https://www.imdb.com/title/tt0100168/?ref_=fn_al_tt_0
tt0100201,1990,6.4,12548.0,Mr. Destiny,https://www.imdb.com/title/tt0100201/ratings/?ref_=tt_ov_rt,969.0,681.0,1685.0,3048.0,3212.0,1668.0,653.0,261.0,178.0,193.0,1990 Mr. Destiny,15379253,https://www.imdb.com/title/tt0100201/?ref_=fn_al_tt_0
tt0100212,1990,6.2,21327.0,My Blue Heaven,https://www.imdb.com/title/tt0100212/ratings/?ref_=tt_ov_rt,1562.0,1079.0,2836.0,4981.0,5386.0,2986.0,1307.0,592.0,309.0,289.0,1990 My Blue Heaven,23591472,https://www.imdb.com/title/tt0100212/?ref_=fn_al_tt_0
tt0100232,1990,5.5,16949.0,Navy Seals,https://www.imdb.com/title/tt0100232/ratings/?ref_=tt_ov_rt,942.0,472.0,1206.0,2669.0,4042.0,3625.0,1913.0,1032.0,524.0,524.0,1990 Navy Seals,25069101,https://www.imdb.com/title/tt0100232/?ref_=fn_al_tt_0
