Title,Year,Rating,Votes,1,2,3,4,5,6,7,8,9,10,WorldwideBox Office
House Party,1990,6.4,15152.0,2066.0,1039.0,2043.0,3011.0,3063.0,1757.0,948.0,466.0,362.0,397.0,26385627.0
The Hunt for Red October,1990,7.5,199836.0,20027.0,29270.0,68288.0,52621.0,18812.0,6131.0,2097.0,989.0,580.0,1021.0,200512643.0
Dark Angel,1990,6.1,12500.0,1104.0,557.0,1329.0,2615.0,3092.0,1916.0,911.0,444.0,256.0,276.0,4348368.0
I Love You to Death,1990,6.4,14687.0,1212.0,827.0,2148.0,3664.0,3473.0,1861.0,780.0,322.0,163.0,237.0,16186793.0
Internal Affairs,1990,6.5,20522.0,823.0,939.0,3004.0,6447.0,5629.0,2158.0,776.0,347.0,161.0,238.0,27734391.0
Jacob's Ladder,1990,7.4,108484.0,12447.0,15904.0,32015.0,27430.0,11860.0,4384.0,1883.0,973.0,582.0,1006.0,26118851.0
Joe Versus the Volcano,1990,5.9,37505.0,3262.0,2109.0,3736.0,6009.0,7945.0,6757.0,3445.0,1878.0,1128.0,1236.0,39404261.0
Kindergarten Cop,1990,6.2,149957.0,7874.0,5336.0,16420.0,36513.0,43161.0,22862.0,9627.0,4200.0,2258.0,1706.0,201957688.0
King of New York,1990,6.9,37649.0,3150.0,3097.0,7698.0,11888.0,6724.0,2774.0,1105.0,513.0,329.0,371.0,2554476.0
Leatherface: Texas Chainsaw Massacre III,1990,5.0,17093.0,1265.0,321.0,841.0,1862.0,3271.0,3871.0,2536.0,1523.0,802.0,801.0,5765562.0
Life Is Sweet,1990,7.4,10469.0,1048.0,1605.0,3007.0,2697.0,1075.0,456.0,235.0,124.0,80.0,142.0,1516414.0
Lionheart,1990,6.2,36700.0,3764.0,1594.0,4190.0,7753.0,9514.0,5507.0,2253.0,1016.0,540.0,569.0,24271196.0
Look Who's Talking Too,1990,4.6,46916.0,1708.0,656.0,1639.0,3637.0,7204.0,10516.0,9407.0,5821.0,3506.0,2822.0,47789074.0
Lord of the Flies,1990,6.4,31114.0,1500.0,1245.0,4004.0,8299.0,8345.0,3874.0,1785.0,1001.0,445.0,616.0,13985225.0
Marked for Death,1990,5.9,22475.0,1841.0,856.0,2052.0,4135.0,5814.0,3996.0,1706.0,862.0,500.0,713.0,57968936.0
Memphis Belle,1990,6.9,28730.0,2121.0,2280.0,6036.0,9630.0,5455.0,1907.0,582.0,254.0,149.0,316.0,27441977.0
Men at Work,1990,5.9,25029.0,1708.0,839.0,2274.0,4869.0,6841.0,4610.0,2002.0,915.0,526.0,445.0,16247964.0
Mermaids,1990,6.7,32395.0,3090.0,2076.0,5462.0,9109.0,7159.0,3167.0,1215.0,509.0,261.0,347.0,35419397.0
Metropolitan,1990,7.3,11406.0,1376.0,1638.0,2940.0,2732.0,1395.0,600.0,271.0,142.0,115.0,197.0,2960492.0
Miller's Crossing,1990,7.7,135561.0,17893.0,23364.0,44243.0,30491.0,11279.0,4234.0,1556.0,797.0,499.0,1205.0,5080409.0
Misery,1990,7.8,210028.0,22335.0,34343.0,81934.0,49995.0,14084.0,4249.0,1342.0,624.0,455.0,667.0,61277271.0
Mo' Better Blues,1990,6.6,12706.0,919.0,792.0,2218.0,3653.0,2695.0,1150.0,486.0,187.0,153.0,453.0,16153593.0
Mr. Destiny,1990,6.4,12548.0,969.0,681.0,1685.0,3048.0,3212.0,1668.0,653.0,261.0,178.0,193.0,15379253.0
